show_flag,title,type,event,year,organization,notes,url,hidden_notes
TRUE,What LGBTQ+ journalists think you should know,Panel,The Investigative Reporters & Editors Journal,2021,Investigative Reporters & Editors,"Spoke with <a href=""https://www.ire.org/wp-content/uploads/woocommerce_uploads/2021/11/ire_q4_2021-iwwvrp.pdf"">a roundtable</a> of LGBTQ+ journalists about industry issues.",,
TRUE,LGBTQ+ Networking Session,Moderation,IRE20,2020,Investigative Reporters & Editors,,,
TRUE,Investigating Housing,Workshop,Report for America In-Depth Beat Training,2020,The Groundtruth Project,Developed three-hour training and follow-up tipsheets for journalists starting out on the housing beat.,https://drive.google.com/drive/folders/1rQ4-_cbPCvDJaMmc0ZudFxuU3GnDN1ux,
TRUE,Diverse newsrooms can produce better journalism: Let's make it happen,Panel,NICAR 2020,2020,Investigative Reporters & Editors,,,
TRUE,Google Forms for Data Entry,Presentation,Internal training,2020,St. Louis Public Radio,,,
TRUE,"Investigative Journalism, Photojournalism",Panel,Mini J School,2019,St. Louis Public Radio,"Built the Mini J School curriculum with a panel of other journalists and development staff, then lead and participated in several sessions.",https://current.org/2019/08/in-st-louis-a-mini-j-school-makes-public-radio-listeners-advocates-for-real-news/,
TRUE,Excel Tricks You've Never Used - Teaching Assistant,Workshop,"2019 IRE Conference, internal newsroom training",2019,"Investigative Reporters & Editors, St. Louis Public Radio",,,
TRUE,Uncovering predatory and abusive housing practices,Panel,2019 IRE Conference,2019,Investigative Reporters & Editors,,,
FALSE,Sources & Gender Dynamics,Presentation,Weekly meeting,2019,St. Louis Online News Association,,,
TRUE,The Swiss Army Reporter: Multimedia tools and how to use them,Presentation,National Student Electronic Media Convention 2019,2019,"College Broadcasters, Inc.",,,
FALSE,Journalistic Ethics Quiz,Presentation,STLSPJ Student Boot Camp,2019,St. Louis Society of Professional Journalists,,,
TRUE,Investigating Housing and Landlord Complaints,Panel,2018 IRE Conference,2018,Investigative Reporters & Editors,,,
TRUE,Illustrating stories with data visuals,Presentation,STLSPJ Student Boot Camp,2018,St. Louis Society of Professional Journalists,,,
TRUE,Freelancing for Fun and for Profit,Presentation,STLSPJ Student Boot Camp,2017,St. Louis Society of Professional Journalists,,,
